match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
2766,2025,"sobota 25.04.2026, 18:00",O titul - 7. kolo,Boris Benedik,MFK Zemplín Michalovce,FK Železiarne Podbrezová,1,2,1.36,0.63,21,8,2,4,7,0,16,16,2,3,0,0,67.5,32.5,1542
2767,2025,"utorok 05.05.2026, 18:00",O titul - 8. kolo,Filip Glova,MŠK Žilina,MFK Zemplín Michalovce,3,2,2.54,1.4,22,8,10,3,8,3,10,14,0,1,0,0,47.3,52.7,1049
2768,2025,"sobota 02.05.2026, 20:30",O titul - 8. kolo,Peter Ziemba,ŠK Slovan Bratislava,FC DAC 1904 Dunajská Streda,1,0,0.75,0.76,10,14,3,3,6,9,11,21,0,2,0,1,59.5,40.5,11210
2769,2025,"nedeľa 03.05.2026, 19:00",O titul - 8. kolo,Martin Dohál,FK Železiarne Podbrezová,FC Spartak Trnava,0,3,0.36,1.28,7,19,0,6,3,3,10,17,4,3,0,0,37.9,62.1,627
2770,2025,"sobota 09.05.2026, 18:00",O titul - 9. kolo,Matej Choreň,MFK Zemplín Michalovce,FC DAC 1904 Dunajská Streda,2,1,1.77,2.26,10,21,3,3,2,9,14,13,2,1,0,0,46.7,53.3,2426
2772,2025,"sobota 09.05.2026, 18:00",O titul - 9. kolo,Boris Benedik,FK Železiarne Podbrezová,ŠK Slovan Bratislava,1,2,1.35,2.14,14,17,4,6,7,12,16,12,2,1,0,0,36.6,63.4,1267
2776,2025,"sobota 07.03.2026, 15:30",O udržanie sa - 1. kolo,Erik Gemzický,FC Košice,AS Trenčín,2,0,2.31,0.35,18,7,8,3,7,3,11,9,2,3,0,0,52,48,2692
2777,2025,"sobota 07.03.2026, 15:30",O udržanie sa - 1. kolo,Ivan Kružliak,MFK Skalica,FC Tatran Prešov,1,0,1.41,1.13,8,15,2,4,1,3,12,19,0,3,0,0,36,64,402
2778,2025,"nedeľa 08.03.2026, 15:32",O udržanie sa - 1. kolo,Martin Dohál,KFC Komárno,MFK Ružomberok,3,0,0.96,1.13,13,8,4,2,2,4,17,13,2,1,0,0,52.3,47.7,293
2779,2025,"nedeľa 15.03.2026, 15:30",O udržanie sa - 2. kolo,Boris Benedik,AS Trenčín,MFK Skalica,2,1,0.49,0.9,9,15,4,3,4,4,13,19,2,4,0,0,52.3,47.7,1012
2780,2025,"sobota 14.03.2026, 15:30",O udržanie sa - 2. kolo,Michal Smolák,MFK Ružomberok,FC Košice,1,1,0.72,1.09,4,13,3,3,2,3,11,10,1,2,0,0,48,52,1288
2781,2025,"sobota 14.03.2026, 15:30",O udržanie sa - 2. kolo,Marián Ruc,FC Tatran Prešov,KFC Komárno,0,0,0.37,0.35,6,6,1,1,4,8,12,20,2,3,0,0,48.2,51.8,3299
2782,2025,"sobota 21.03.2026, 18:00",O udržanie sa - 3. kolo,Ivan Kružliak,FC Košice,FC Tatran Prešov,2,1,2.22,0.44,17,5,8,2,5,5,12,11,2,1,0,0,35.5,64.5,7044
2783,2025,"nedeľa 22.03.2026, 15:30",O udržanie sa - 3. kolo,Michal Smolák,MFK Skalica,KFC Komárno,2,1,0.59,0.87,8,17,2,2,0,5,14,15,1,1,0,0,36.1,63.9,457
2784,2025,"sobota 04.04.2026, 15:30",O udržanie sa - 4. kolo,Bálint Kišš,FC Tatran Prešov,MFK Ružomberok,0,0,1.75,0.57,18,8,4,0,5,10,14,21,4,3,0,0,62.7,37.3,3487
2785,2025,"sobota 04.04.2026, 15:30",O udržanie sa - 4. kolo,Erik Gemzický,FC Košice,MFK Skalica,2,0,2.81,0.39,24,8,7,2,8,2,9,8,1,2,0,0,48.9,51.1,2869
2786,2025,"nedeľa 05.04.2026, 15:30",O udržanie sa - 4. kolo,Michal Očenáš,KFC Komárno,AS Trenčín,0,1,1.61,2.33,16,14,6,4,7,3,9,14,1,4,0,0,54.9,45.1,356
2787,2025,"sobota 11.04.2026, 15:30",O udržanie sa - 5. kolo,Peter Kráľovič,MFK Ružomberok,MFK Skalica,0,0,1.34,0.64,16,9,6,1,4,7,7,14,0,1,0,0,55.4,44.6,778
2788,2025,"nedeľa 12.04.2026, 15:30",O udržanie sa - 5. kolo,Boris Marhefka,KFC Komárno,FC Košice,1,2,2.72,1.86,24,21,10,7,4,7,3,15,0,3,0,0,55.5,44.5,340
2789,2025,"sobota 11.04.2026, 15:30",O udržanie sa - 5. kolo,Filip Glova,AS Trenčín,FC Tatran Prešov,1,0,1.93,1.02,21,12,6,4,7,8,11,8,1,1,0,0,51.7,48.3,1095
2790,2025,"sobota 18.04.2026, 15:30",O udržanie sa - 6. kolo,Filip Glova,MFK Ružomberok,KFC Komárno,2,1,1.7,1.5,8,14,3,4,3,6,14,10,1,3,1,0,52.6,47.4,858
2791,2025,"nedeľa 19.04.2026, 15:30",O udržanie sa - 6. kolo,Michal Smolák,MFK Skalica,AS Trenčín,4,1,2.38,0.69,19,10,11,3,10,4,19,12,3,2,0,0,35.7,64.3,439
2792,2025,"nedeľa 19.04.2026, 18:00",O udržanie sa - 6. kolo,Michal Očenáš,FC Tatran Prešov,FC Košice,2,1,1.34,0.44,12,9,5,4,7,2,2,17,2,2,0,0,38.2,61.8,4945
2793,2025,"nedeľa 26.04.2026, 17:00",O udržanie sa - 7. kolo,Peter Kráľovič,FC Tatran Prešov,AS Trenčín,0,1,1.82,1.82,19,19,4,5,9,4,7,10,1,0,0,1,54.1,45.9,3466
2794,2025,"sobota 25.04.2026, 18:00",O udržanie sa - 7. kolo,Ivan Kružliak,KFC Komárno,MFK Skalica,0,2,2.46,2.11,15,12,3,3,4,3,20,13,5,5,0,0,59.1,40.9,342
2795,2025,"sobota 25.04.2026, 18:00",O udržanie sa - 7. kolo,Peter Ziemba,FC Košice,MFK Ružomberok,3,1,1.72,2.05,15,17,6,5,2,6,7,7,0,0,0,0,45.4,54.6,2518
2796,2025,"utorok 05.05.2026, 18:00",O udržanie sa - 8. kolo,Boris Marhefka,MFK Skalica,FC Košice,3,1,2.45,0.96,22,11,6,4,7,5,9,11,1,0,0,0,46.1,53.9,1650
2797,2025,"nedeľa 03.05.2026, 17:00",O udržanie sa - 8. kolo,Marián Ruc,AS Trenčín,KFC Komárno,1,2,0.83,0.9,14,11,4,5,4,5,8,15,0,3,0,0,58.4,41.6,909
2798,2025,"sobota 02.05.2026, 18:00",O udržanie sa - 8. kolo,Bálint Kišš,MFK Ružomberok,FC Tatran Prešov,1,1,1.3,0.94,12,15,3,4,9,2,15,9,2,2,0,1,45.7,54.3,1551
2799,2025,"sobota 09.05.2026, 20:30",O udržanie sa - 9. kolo,Erik Gemzický,FC Tatran Prešov,MFK Skalica,3,0,0.92,0.09,12,5,6,2,1,2,9,19,2,3,0,0,62.4,37.6,5525
2801,2025,"sobota 09.05.2026, 18:00",O udržanie sa - 9. kolo,Lukáš Dzivjak,MFK Ružomberok,AS Trenčín,4,3,2.53,2.16,15,14,5,5,9,3,18,8,0,2,0,0,46.2,53.8,1448
2805,2025,"sobota 21.03.2026, 15:30",O udržanie sa - 3. kolo,Matej Choreň,AS Trenčín,MFK Ružomberok,3,1,1.51,1.22,9,9,5,2,8,5,8,18,0,3,0,0,56.7,43.3,861
