match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73198,2025,2025-10-29,10,Benoît MILLOT,STADE OCÉANE,18484,Havre AC,Brest,1,0,3142,433,47,53,13,8,3,2,4,4,6,2,5,1,12,11,1,3,,,1.005,0.552,2,1,412,497,351,412,14,15,9,13,2,2,32,30,,1,12,22,full_time
l1_championship_match_73199,2025,2025-10-29,10,Willy DELAJOD,STADE YVES-ALLAINMAT,16706,FC Lorient,PSG,1,1,541,433,29,71,5,15,2,8,3,3,,4,,8,5,13,,2,,,0.234,1.491,4,,229,827,167,773,19,10,13,6,7,1,30,18,,,7,8,full_time
l1_championship_match_73200,2025,2025-10-29,10,Thomas LEONARD,ORANGE VÉLODROME,64599,OM,Angers SCO,2,2,4231,4231,57,43,11,12,6,6,4,2,1,4,1,5,11,7,2,1,,,1.343,1.04,1,3,636,427,564,349,16,16,10,10,4,4,22,25,1,1,11,7,full_time
l1_championship_match_73201,2025,2025-10-29,10,Abdelatif KHERRADJI,STADE SAINT-SYMPHORIEN,20618,FC Metz,RC Lens,2,0,4141,3421,48,52,16,10,7,2,8,5,1,3,2,5,15,15,2,2,1,,3.466,1.319,,3,456,524,392,459,18,14,14,9,2,4,26,13,4,2,9,10,full_time
l1_championship_match_73202,2025,2025-10-29,10,Jérôme BRISARD,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,33653,FC Nantes,AS Monaco,3,5,433,3142,49,51,18,19,5,9,8,7,5,3,1,3,13,17,3,7,,,1.602,4.306,,2,370,396,286,328,16,23,9,15,4,2,17,33,3,4,7,10,full_time
l1_championship_match_73203,2025,2025-10-29,10,Bastien DECHEPY,ALLIANZ RIVIERA,22441,OGC Nice,LOSC,2,0,3412,4231,38,62,8,21,4,4,4,8,,9,2,13,11,10,3,3,,,1.769,0.987,1,,290,593,223,516,12,18,5,13,4,2,43,7,1,,10,11,full_time
l1_championship_match_73204,2025,2025-10-29,10,Jérémy STINAT,STADE JEAN BOUIN,18445,Paris FC,OL,3,3,433,4231,50,50,11,7,3,4,3,1,5,2,4,3,18,16,5,2,1,1,0.625,1.254,1,5,457,431,389,368,18,20,10,12,1,,12,29,1,,18,15,full_time
l1_championship_match_73205,2025,2025-10-29,10,Ruddy BUQUET,STADE DE LA MEINAU,22667,Strasbourg,AJ Auxerre,3,0,3421,3421,60,40,18,6,9,1,8,4,1,1,4,3,11,16,1,1,,,4.211,0.429,1,1,690,380,626,318,19,15,9,9,1,6,14,18,6,1,12,6,full_time
l1_championship_match_73206,2025,2025-10-29,10,Clément TURPIN,STADIUM,25484,Toulouse FC,Rennes,2,2,3421,352,53,47,15,11,4,5,7,4,4,2,5,8,9,12,2,3,,,1.577,1.578,,2,431,356,354,277,14,15,6,11,3,2,20,36,,1,12,17,full_time
l1_championship_match_73207,2025,2025-11-01,11,Benoît BASTIEN,STADE DE L'ABBÉ-DESCHAMPS,16529,AJ Auxerre,OM,0,1,541,352,49,51,9,6,4,2,3,4,2,,3,3,12,14,2,4,1,1,1.167,0.517,2,2,450,477,386,420,10,14,6,7,1,4,10,15,2,,12,9,full_time
l1_championship_match_73211,2025,2025-11-01,11,Eric WATTELLIER,STADE LOUIS-II,10727,AS Monaco,Paris FC,0,1,3421,433,53,47,10,9,1,1,5,4,4,4,3,2,10,12,3,2,,,0.881,0.975,3,,517,420,422,333,15,9,10,3,,3,12,20,1,1,19,10,full_time
l1_championship_match_73213,2025,2025-11-01,11,François LETEXIER,PARC DES PRINCES,47629,PSG,OGC Nice,1,0,433,541,69,31,28,5,8,2,9,,11,3,11,1,12,5,3,1,,,2.288,0.478,2,1,805,247,760,182,13,20,8,10,2,7,3,33,2,1,6,8,full_time
l1_championship_match_73208,2025,2025-11-02,11,Clément TURPIN,STADE FRANCIS-LE BLÉ,14534,Brest,OL,0,0,4231,4231,49,51,13,4,3,2,6,1,4,1,12,2,19,6,1,,,1,1.501,0.198,2,1,383,411,313,339,13,23,7,8,2,3,17,42,3,,14,13,full_time
l1_championship_match_73209,2025,2025-11-02,11,Jérémie PIGNARD,STADE BOLLAERT-DELELIS,37373,RC Lens,FC Lorient,3,0,3421,3421,57,43,9,12,6,3,2,4,1,5,7,6,8,10,2,2,,,2.231,1.83,2,,627,434,560,378,13,14,8,9,3,2,28,15,3,3,7,3,full_time
l1_championship_match_73210,2025,2025-11-02,11,Jérôme BRISARD,DECATHLON ARENA – STADE PIERRE-MAUROY,38802,LOSC,Angers SCO,1,0,4231,4231,53,47,15,6,4,1,8,1,3,4,9,2,10,10,1,,,,2.042,0.44,1,3,545,469,466,396,16,13,10,11,1,2,18,23,4,,12,12,full_time
l1_championship_match_73212,2025,2025-11-02,11,Gaël ANGOULA,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,27150,FC Nantes,FC Metz,0,2,4141,4231,52,48,16,14,4,7,6,7,6,,8,5,8,8,1,3,,,0.826,1.341,1,3,363,336,302,275,11,25,5,12,5,4,23,31,2,,10,18,full_time
l1_championship_match_73214,2025,2025-11-02,11,Thomas LEONARD,ROAZHON PARK,27658,Rennes,Strasbourg,4,1,352,3421,43,57,13,20,6,2,3,10,4,8,6,5,15,9,1,1,,,2.347,1.601,2,3,400,586,335,524,22,21,16,14,1,2,25,13,1,2,10,7,full_time
l1_championship_match_73215,2025,2025-11-02,11,Jérémy STINAT,STADIUM,20643,Toulouse FC,Havre AC,0,0,3421,4132,47,53,18,9,2,3,9,4,7,2,10,2,12,14,1,2,,,1.117,1.303,,2,335,427,262,344,9,27,7,14,3,2,22,45,,2,20,20,full_time
l1_championship_match_73223,2025,2025-11-07,12,Guillaume PARADIS,STADE JEAN BOUIN,16587,Paris FC,Rennes,0,1,541,352,52,48,20,10,4,3,9,5,7,2,8,9,9,13,4,2,,,1.978,0.75,4,2,442,398,362,328,13,13,8,6,2,4,22,30,3,1,6,16,full_time
l1_championship_match_73217,2025,2025-11-08,12,Romain LISSORGUE,STADE OCÉANE,19747,Havre AC,FC Nantes,1,1,4132,433,59,41,17,5,4,2,7,,6,3,8,3,15,13,3,3,,,0.94,0.207,4,3,470,266,402,189,16,16,7,8,1,3,11,48,4,,18,13,full_time
l1_championship_match_73220,2025,2025-11-08,12,Willy DELAJOD,ORANGE VÉLODROME,66279,OM,Brest,3,0,4231,4231,61,39,19,4,7,2,8,2,4,,6,2,12,10,,1,,,3.465,0.742,,2,658,375,605,304,16,12,11,9,2,4,12,16,2,2,7,12,full_time
l1_championship_match_73222,2025,2025-11-08,12,Bastien DECHEPY,STADE LOUIS-II,9456,AS Monaco,RC Lens,1,4,3142,3421,50,50,16,20,6,12,6,3,4,5,5,4,15,19,1,2,1,,2.828,3.389,2,2,460,459,388,396,20,17,10,7,7,5,16,18,4,3,10,10,full_time
l1_championship_match_73216,2025,2025-11-09,12,Abdelatif KHERRADJI,STADE RAYMOND-KOPA,11428,Angers SCO,AJ Auxerre,2,0,4231,433,49,51,9,12,5,5,3,5,1,2,3,3,19,14,2,2,,,0.669,0.704,2,2,444,465,373,391,14,15,9,10,5,4,19,19,,,10,9,full_time
l1_championship_match_73218,2025,2025-11-09,12,Hakim BEN EL HADJ,STADE YVES-ALLAINMAT,15562,FC Lorient,Toulouse FC,1,1,3421,3421,49,51,10,6,2,2,6,1,2,3,6,4,6,18,,4,,,1.359,1.315,1,3,399,413,325,346,19,21,11,13,1,1,15,23,,,13,17,full_time
l1_championship_match_73219,2025,2025-11-09,12,Benoît BASTIEN,GROUPAMA STADIUM,58257,OL,PSG,2,3,4231,433,33,67,9,9,2,4,4,4,3,1,5,5,10,8,4,2,1,,0.686,1.423,2,2,271,729,211,656,10,13,7,8,1,,20,25,1,1,9,18,full_time
l1_championship_match_73221,2025,2025-11-09,12,Stéphanie FRAPPART,STADE SAINT-SYMPHORIEN,20683,FC Metz,OGC Nice,2,1,4231,3412,49,51,9,11,2,4,4,5,3,2,6,3,12,19,2,4,,,1.585,0.946,,,421,435,351,390,16,13,9,6,3,,12,24,1,,9,16,full_time
l1_championship_match_73224,2025,2025-11-09,12,François LETEXIER,STADE DE LA MEINAU,29000,Strasbourg,LOSC,2,0,3412,4231,45,55,5,6,2,4,2,2,1,,1,4,9,20,4,3,,1,1.075,0.283,1,1,357,484,289,413,18,11,11,7,4,,23,8,,1,16,10,full_time
l1_championship_match_73230,2025,2025-11-21,13,Jérémie PIGNARD,ALLIANZ RIVIERA,27089,OGC Nice,OM,1,5,343,4231,51,49,15,13,7,11,3,1,5,1,8,6,9,10,2,1,,,1.377,2.858,3,1,507,468,454,413,8,12,4,6,6,6,7,29,3,2,10,5,full_time
l1_championship_match_73227,2025,2025-11-22,13,Jérôme BRISARD,STADE BOLLAERT-DELELIS,38211,RC Lens,Strasbourg,1,0,3421,3421,53,47,13,7,5,1,3,3,5,3,3,1,13,13,2,3,1,1,1.918,0.459,3,2,552,461,472,384,20,18,15,11,1,4,11,18,2,,6,10,full_time
l1_championship_match_73231,2025,2025-11-22,13,Mathieu VERNICE,PARC DES PRINCES,47694,PSG,Havre AC,3,0,433,4132,61,39,31,12,11,4,13,6,7,2,6,4,10,8,2,1,,,3.461,1.192,3,3,599,313,526,235,18,25,9,11,3,8,8,20,5,2,7,8,full_time
l1_championship_match_73232,2025,2025-11-22,13,Hakim BEN EL HADJ,ROAZHON PARK,27681,Rennes,AS Monaco,4,1,352,3421,50,50,17,13,9,3,3,2,5,8,4,6,3,13,,1,,1,3.78,1.332,1,5,497,486,421,431,21,16,12,7,2,4,17,19,1,2,8,8,full_time
l1_championship_match_73225,2025,2025-11-23,13,Thomas LEONARD,STADE DE L'ABBÉ-DESCHAMPS,17359,AJ Auxerre,OL,0,0,433,4231,37,63,12,16,5,7,3,5,4,4,7,11,10,11,1,3,,,2.14,1.574,2,3,237,548,175,475,13,13,9,8,7,5,25,22,1,1,14,14,full_time
l1_championship_match_73226,2025,2025-11-23,13,Gaël ANGOULA,STADE FRANCIS-LE BLÉ,13938,Brest,FC Metz,3,2,4231,4231,55,45,20,7,7,3,11,3,2,1,5,2,11,8,2,3,,,3.111,1.048,,,516,406,435,331,15,8,13,5,2,4,10,26,3,1,23,10,full_time
l1_championship_match_73228,2025,2025-11-23,13,Benoît MILLOT,DECATHLON ARENA – STADE PIERRE-MAUROY,39053,LOSC,Paris FC,4,2,442,433,51,49,17,6,10,3,3,1,4,2,9,4,9,12,1,2,,,4.025,1.557,1,3,475,440,395,353,12,14,8,7,1,7,21,23,3,1,11,12,full_time
l1_championship_match_73229,2025,2025-11-23,13,Ruddy BUQUET,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,25967,FC Nantes,FC Lorient,1,1,433,3421,53,47,9,7,1,1,5,4,3,2,1,1,17,17,1,1,,,0.856,0.321,,2,496,399,419,331,12,14,9,8,1,,13,42,1,,10,19,full_time
l1_championship_match_73233,2025,2025-11-23,13,Marc BOLLENGIER,STADIUM,19009,Toulouse FC,Angers SCO,0,1,3421,4231,52,48,25,6,6,2,15,3,4,1,11,1,15,15,1,3,,,2.031,0.426,1,1,464,418,392,333,15,21,6,9,1,6,12,31,2,,28,19,full_time
l1_championship_match_73239,2025,2025-11-28,14,Jérémy STINAT,STADE SAINT-SYMPHORIEN,20291,FC Metz,Rennes,0,1,3421,352,51,49,16,9,5,2,6,3,5,4,6,3,9,8,,,,,1.076,0.783,4,1,482,459,414,374,13,16,7,9,1,5,22,10,1,1,11,9,full_time
l1_championship_match_73238,2025,2025-11-29,14,Eric WATTELLIER,ORANGE VÉLODROME,65163,OM,Toulouse FC,2,2,4231,3421,69,31,20,6,5,4,8,1,7,1,9,1,7,10,2,1,,,1.8,0.706,1,1,714,217,660,157,16,19,11,13,2,2,12,38,,1,15,15,full_time
l1_championship_match_73240,2025,2025-11-29,14,Clément TURPIN,STADE LOUIS-II,11546,AS Monaco,PSG,1,0,4231,433,45,55,10,17,5,4,2,9,3,4,4,4,10,13,3,1,1,,0.659,1.329,3,1,407,534,316,445,16,13,11,5,4,4,21,11,1,2,13,4,full_time
l1_championship_match_73241,2025,2025-11-29,14,François LETEXIER,STADE JEAN BOUIN,15007,Paris FC,AJ Auxerre,1,1,4411,433,54,46,11,11,2,3,7,4,2,4,4,3,11,17,2,1,,,1.801,1.105,2,,511,419,451,357,23,15,15,9,2,1,29,11,2,1,12,9,full_time
l1_championship_match_73234,2025,2025-11-30,14,Guillaume PARADIS,STADE RAYMOND-KOPA,12979,Angers SCO,RC Lens,1,2,4231,3421,46,54,7,17,5,6,2,10,,1,2,8,7,11,1,1,,,1.373,2.047,5,2,425,514,330,440,26,25,18,16,4,4,27,13,2,3,14,13,full_time
l1_championship_match_73235,2025,2025-11-30,14,Willy DELAJOD,STADE OCÉANE,20689,Havre AC,LOSC,0,1,4141,4231,43,57,14,8,7,2,3,3,4,3,6,2,15,13,1,3,,1,1.183,1.637,1,5,341,485,263,403,15,10,8,7,1,7,18,25,1,1,24,7,full_time
l1_championship_match_73236,2025,2025-11-30,14,Romain LISSORGUE,STADE YVES-ALLAINMAT,15648,FC Lorient,OGC Nice,3,1,3421,352,46,54,18,9,7,2,9,3,2,4,3,7,7,11,1,2,,,2.469,0.822,,1,428,560,364,486,11,11,9,7,2,4,32,17,2,2,13,17,full_time
l1_championship_match_73237,2025,2025-11-30,14,Abdelatif KHERRADJI,GROUPAMA STADIUM,46449,OL,FC Nantes,3,0,3421,433,65,35,20,6,8,2,10,4,2,,7,,14,9,1,2,,1,2.378,1.041,2,1,612,243,553,175,12,9,5,6,2,4,10,28,3,1,11,10,full_time
l1_championship_match_73242,2025,2025-11-30,14,Bastien DECHEPY,STADE DE LA MEINAU,30017,Strasbourg,Brest,1,2,3421,4231,56,44,14,7,6,4,7,3,1,,5,,12,14,,3,,,0.819,1.054,1,1,548,421,484,347,10,13,9,13,2,5,30,24,1,,15,12,full_time
l1_championship_match_73244,2025,2025-12-05,15,Thomas LEONARD,STADE FRANCIS-LE BLÉ,14522,Brest,AS Monaco,1,0,4231,4231,43,57,12,10,4,2,5,7,3,1,2,3,17,15,2,4,1,,1.557,0.6,,2,320,476,225,390,17,11,10,7,2,3,22,30,1,1,15,17,full_time
l1_championship_match_73246,2025,2025-12-05,15,Jérôme BRISARD,DECATHLON ARENA – STADE PIERRE-MAUROY,48258,LOSC,OM,1,0,4231,3421,44,56,5,6,2,2,,1,3,3,2,5,9,11,1,1,,,0.345,0.533,2,1,423,570,352,501,17,15,10,7,2,1,28,15,,1,12,8,full_time
l1_championship_match_73248,2025,2025-12-06,15,Benoît BASTIEN,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,26654,FC Nantes,RC Lens,1,2,433,3421,39,61,10,20,4,6,4,8,2,6,1,12,8,13,2,,,,1.215,2.32,,3,287,534,216,461,20,26,15,15,4,3,36,19,1,4,22,18,full_time
l1_championship_match_73250,2025,2025-12-06,15,Marc BOLLENGIER,PARC DES PRINCES,47823,PSG,Rennes,5,0,433,352,63,37,20,6,9,2,7,2,4,2,8,6,9,5,,2,,1,2.227,0.238,,2,715,355,658,305,17,15,13,5,2,4,9,13,2,,4,5,full_time
l1_championship_match_73251,2025,2025-12-06,15,Stéphanie FRAPPART,STADIUM,22031,Toulouse FC,Strasbourg,1,0,3421,3421,32,68,6,3,3,,2,1,1,2,1,2,21,13,3,3,,,0.502,0.21,1,3,302,782,239,727,13,7,5,3,,2,25,16,,,11,11,full_time
l1_championship_match_73243,2025,2025-12-07,15,Eric WATTELLIER,STADE DE L'ABBÉ-DESCHAMPS,15588,AJ Auxerre,FC Metz,3,1,433,4231,42,58,14,5,7,3,4,2,3,,5,3,10,12,2,1,,,1.944,0.552,2,1,340,545,285,486,18,14,13,9,2,4,24,22,2,,9,7,full_time
l1_championship_match_73245,2025,2025-12-07,15,Ruddy BUQUET,STADE OCÉANE,17460,Havre AC,Paris FC,0,0,433,451,45,55,13,13,2,2,7,8,4,3,7,2,10,13,,2,,,1.837,1.228,,,389,515,328,454,8,12,7,8,2,2,12,22,4,2,10,12,full_time
l1_championship_match_73247,2025,2025-12-07,15,Mathieu VERNICE,STADE YVES-ALLAINMAT,16213,FC Lorient,OL,1,0,3421,3421,44,56,14,7,6,4,6,2,2,1,1,7,12,21,2,3,,1,2.569,0.435,2,,300,438,236,373,12,6,9,3,4,5,24,12,4,,13,11,full_time
l1_championship_match_73249,2025,2025-12-07,15,Jérémy STINAT,ALLIANZ RIVIERA,17630,OGC Nice,Angers SCO,0,1,352,4231,50,50,13,8,3,4,8,2,2,2,4,1,11,9,1,1,1,,1.308,0.991,1,1,517,534,429,454,17,23,12,16,3,3,21,28,2,3,13,10,full_time
l1_championship_match_73252,2025,2025-12-12,16,Stéphanie FRAPPART,STADE RAYMOND-KOPA,14308,Angers SCO,FC Nantes,4,1,4231,442,54,46,20,7,9,4,6,2,5,1,6,3,17,13,1,2,,,2.39,0.356,1,1,484,406,413,326,20,13,12,7,3,5,20,16,1,,12,10,full_time
l1_championship_match_73257,2025,2025-12-13,16,Romain LISSORGUE,STADE SAINT-SYMPHORIEN,0,FC Metz,PSG,2,3,4231,433,42,58,9,14,5,9,1,4,3,1,4,4,10,10,2,1,,,0.62,1.847,,,461,681,395,627,21,14,14,9,6,3,21,20,1,1,10,10,full_time
l1_championship_match_73258,2025,2025-12-13,16,Bastien DECHEPY,STADE JEAN BOUIN,15822,Paris FC,Toulouse FC,0,3,451,3421,62,38,9,7,2,4,4,3,3,,7,4,12,14,3,1,,,0.457,2.536,2,2,607,321,548,264,14,12,9,6,1,2,29,32,,1,18,8,full_time
l1_championship_match_73259,2025,2025-12-13,16,Benoît MILLOT,ROAZHON PARK,27959,Rennes,Brest,3,1,352,4231,58,42,9,14,5,7,1,5,3,2,5,7,16,22,2,3,,,2.226,0.821,2,4,490,300,406,218,26,14,17,9,6,2,33,22,,,17,12,full_time
l1_championship_match_73253,2025,2025-12-14,16,Jérémie PIGNARD,STADE DE L'ABBÉ-DESCHAMPS,16124,AJ Auxerre,LOSC,3,4,433,4231,46,54,18,8,8,5,5,1,5,2,10,3,21,10,4,2,2,2,2.97,0.537,,,350,449,300,376,20,11,16,7,1,6,19,28,2,,12,15,full_time
l1_championship_match_73254,2025,2025-12-14,16,Willy DELAJOD,STADE BOLLAERT-DELELIS,37278,RC Lens,OGC Nice,2,0,3421,433,47,53,15,8,5,4,5,2,5,2,2,5,17,13,,2,,,1.651,0.762,,2,418,493,344,421,15,18,9,10,4,4,25,12,1,1,10,12,full_time
l1_championship_match_73255,2025,2025-12-14,16,Marc BOLLENGIER,GROUPAMA STADIUM,42168,OL,Havre AC,1,0,433,433,55,45,18,10,4,4,8,6,6,,5,4,14,18,2,4,,,2.737,1.443,2,3,368,271,310,213,10,12,8,6,4,3,26,28,4,3,13,18,full_time
l1_championship_match_73256,2025,2025-12-14,16,François LETEXIER,ORANGE VÉLODROME,64509,OM,AS Monaco,1,0,4231,4231,55,45,18,18,8,7,6,4,4,7,3,7,11,11,2,1,,,1.788,2.27,,6,495,348,406,285,7,14,2,8,5,6,26,23,2,4,10,9,full_time
l1_championship_match_73260,2025,2025-12-14,16,Gaël ANGOULA,STADE DE LA MEINAU,29951,Strasbourg,FC Lorient,0,0,3421,3421,60,40,12,9,2,2,6,7,4,,11,3,6,3,1,,,,0.691,0.639,1,2,688,421,641,361,13,19,6,10,2,1,8,34,4,,14,17,full_time
l1_championship_match_73269,2025,2026-01-02,17,Mathieu VERNICE,STADIUM,30266,Toulouse FC,RC Lens,0,3,3421,3421,36,64,8,16,2,7,3,8,3,1,2,8,16,16,2,3,1,,0.663,1.639,,,268,571,199,509,21,16,15,12,4,2,21,17,,4,11,14,full_time
l1_championship_match_73263,2025,2026-01-03,17,Eric WATTELLIER,DECATHLON ARENA – STADE PIERRE-MAUROY,41527,LOSC,Rennes,0,2,4231,352,42,58,13,18,3,4,5,9,5,5,4,7,4,14,1,1,1,,0.846,1.567,,2,380,605,315,540,10,14,7,8,2,3,25,24,1,,7,7,full_time
l1_championship_match_73266,2025,2026-01-03,17,Jérôme BRISARD,STADE LOUIS-II,11828,AS Monaco,OL,1,3,4312,4312,45,55,6,13,2,9,1,3,3,1,7,2,14,12,2,3,1,,0.686,1.397,,,371,478,303,407,13,12,8,8,6,1,10,36,,,11,9,full_time
l1_championship_match_73267,2025,2026-01-03,17,Clément TURPIN,ALLIANZ RIVIERA,18365,OGC Nice,Strasbourg,1,1,4141,4231,47,53,19,8,6,5,9,2,4,1,5,7,12,12,1,2,,,2.905,1.352,1,1,443,541,384,468,17,17,9,11,2,5,31,25,6,1,11,7,full_time
l1_championship_match_73261,2025,2026-01-04,17,Jérémy STINAT,STADE FRANCIS-LE BLÉ,13772,Brest,AJ Auxerre,2,0,442,433,50,50,11,10,4,1,4,5,3,4,7,6,16,9,3,2,,,2.012,0.739,1,,451,450,369,374,21,15,14,10,1,2,25,26,3,1,19,14,full_time
l1_championship_match_73262,2025,2026-01-04,17,Hakim BEN EL HADJ,STADE OCÉANE,16099,Havre AC,Angers SCO,2,1,41212,4231,51,49,11,9,6,3,3,3,2,3,6,6,15,8,1,1,,,1.167,0.554,1,2,398,409,325,313,19,18,13,12,2,3,37,28,3,,14,15,full_time
l1_championship_match_73264,2025,2026-01-04,17,Guillaume PARADIS,STADE YVES-ALLAINMAT,12602,FC Lorient,FC Metz,1,1,343,4231,44,56,16,8,5,2,8,3,3,3,4,4,9,8,1,2,,,1.45,0.415,3,1,433,581,365,522,16,12,11,4,1,4,16,24,2,,8,9,full_time
l1_championship_match_73265,2025,2026-01-04,17,Marc BOLLENGIER,ORANGE VÉLODROME,64780,OM,FC Nantes,0,2,3421,541,54,46,11,15,4,9,4,2,3,4,6,3,17,20,1,3,2,,0.752,3.757,3,4,466,380,406,325,14,23,8,12,7,4,15,34,2,2,5,14,full_time
l1_championship_match_73268,2025,2026-01-04,17,Benoît BASTIEN,PARC DES PRINCES,47892,PSG,Paris FC,2,1,433,541,65,35,20,6,6,3,10,3,4,,7,1,7,4,1,,,,1.718,1.013,,2,782,332,708,262,18,17,9,11,2,4,7,35,1,,7,8,full_time
l1_championship_match_73273,2025,2026-01-16,18,Willy DELAJOD,STADE LOUIS-II,4810,AS Monaco,FC Lorient,1,3,4222,3421,57,43,14,14,7,4,5,7,2,3,4,3,16,9,1,,,,1.247,1.377,,1,583,371,527,320,17,15,12,9,1,6,12,39,1,,13,15,full_time
l1_championship_match_73275,2025,2026-01-16,18,Jérôme BRISARD,PARC DES PRINCES,46909,PSG,LOSC,3,0,433,433,59,41,13,7,7,4,4,2,2,1,4,2,14,6,,1,,,1.404,1.155,1,3,705,436,645,369,23,11,10,6,4,4,12,12,,1,3,4,full_time
l1_championship_match_73270,2025,2026-01-17,18,Ruddy BUQUET,STADE RAYMOND-KOPA,15266,Angers SCO,OM,2,5,4231,3421,37,63,7,23,3,11,2,8,2,4,6,2,9,8,1,1,,,0.939,2.844,1,1,356,726,302,672,20,21,11,12,6,1,19,9,,3,4,6,full_time
l1_championship_match_73271,2025,2026-01-17,18,Bastien DECHEPY,STADE BOLLAERT-DELELIS,38083,RC Lens,AJ Auxerre,1,0,3421,532,49,51,19,5,7,,7,4,5,1,2,5,19,20,2,5,,,2.662,0.562,2,,407,434,329,335,23,26,19,20,,6,19,16,4,,10,14,full_time
l1_championship_match_73278,2025,2026-01-17,18,Gaël ANGOULA,STADIUM,25284,Toulouse FC,OGC Nice,5,1,343,433,46,54,22,15,10,6,7,5,5,4,6,7,12,17,1,2,,,1.843,1.994,,1,387,516,323,439,10,20,5,12,5,4,31,18,,2,21,9,full_time
l1_championship_match_73272,2025,2026-01-18,18,Romain LISSORGUE,GROUPAMA STADIUM,46046,OL,Brest,2,1,433,4231,65,35,19,5,6,2,5,3,8,,5,,18,9,2,,,1,1.981,0.69,2,1,644,265,585,186,19,20,11,12,1,4,13,30,3,2,14,17,full_time
l1_championship_match_73274,2025,2026-01-18,18,Benoît MILLOT,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,24768,FC Nantes,Paris FC,1,2,343,541,49,51,5,10,1,3,3,2,1,5,1,2,16,14,1,3,,,0.352,0.813,3,,467,501,402,429,16,19,10,11,1,,19,21,,,17,8,full_time
l1_championship_match_73276,2025,2026-01-18,18,Stéphanie FRAPPART,ROAZHON PARK,27650,Rennes,Havre AC,1,1,3142,3412,52,48,19,7,7,4,5,1,7,2,10,6,18,14,1,4,,,2.355,0.752,5,1,397,344,317,249,13,22,9,15,3,6,15,39,3,1,20,16,full_time
l1_championship_match_73277,2025,2026-01-18,18,Jérémie PIGNARD,STADE DE LA MEINAU,30612,Strasbourg,FC Metz,2,1,4231,4231,49,51,14,9,6,2,3,4,5,3,4,1,12,12,2,3,,,1.091,1.081,2,1,478,526,433,464,16,19,9,8,1,5,16,26,2,,13,6,full_time
l1_championship_match_73279,2025,2026-01-23,19,Mathieu VERNICE,STADE DE L'ABBÉ-DESCHAMPS,17254,AJ Auxerre,PSG,0,1,541,433,36,64,8,16,,8,5,3,3,5,2,7,10,12,,1,,,0.35,2.741,2,,303,692,234,623,18,15,11,8,7,,24,15,,4,8,7,full_time
l1_championship_match_73281,2025,2026-01-24,19,Marc BOLLENGIER,STADE OCÉANE,19033,Havre AC,AS Monaco,0,0,4312,4222,48,52,7,10,1,2,4,7,2,1,5,6,9,20,,3,,,0.251,0.622,1,5,349,402,266,334,16,15,8,9,2,,27,16,,1,18,11,full_time
l1_championship_match_73283,2025,2026-01-24,19,Benoît BASTIEN,ORANGE VÉLODROME,52673,OM,RC Lens,3,1,3421,3421,53,47,10,7,5,2,2,2,3,3,2,2,18,16,1,3,,,0.999,1.024,1,4,556,471,497,411,15,21,9,13,1,2,22,7,,2,4,4,full_time
l1_championship_match_73287,2025,2026-01-24,19,Clément TURPIN,ROAZHON PARK,28659,Rennes,FC Lorient,0,2,352,3421,62,38,22,6,5,4,10,1,7,1,9,3,18,7,2,,,,1.76,1.316,3,1,546,259,483,175,13,10,7,5,2,5,14,57,2,1,17,11,full_time
l1_championship_match_73280,2025,2026-01-25,19,Guillaume PARADIS,STADE FRANCIS-LE BLÉ,13823,Brest,Toulouse FC,0,2,4222,3421,53,47,13,8,5,5,5,2,3,1,3,3,16,16,2,3,,,1.039,0.368,1,4,498,422,399,340,15,11,8,9,3,4,20,45,2,1,16,15,full_time
l1_championship_match_73282,2025,2026-01-25,19,Willy DELAJOD,DECATHLON ARENA – STADE PIERRE-MAUROY,38551,LOSC,Strasbourg,1,4,541,4231,47,53,20,15,6,6,11,6,3,3,8,1,11,13,2,2,,,1.892,3.194,,1,414,481,350,421,12,19,8,13,2,5,13,18,2,2,6,13,full_time
l1_championship_match_73284,2025,2026-01-25,19,Eric WATTELLIER,STADE SAINT-SYMPHORIEN,28244,FC Metz,OL,2,5,433,3412,51,49,15,13,6,10,2,1,7,2,6,4,10,5,1,,,,1.304,2.587,4,2,470,432,404,355,7,10,4,3,5,4,11,33,,3,12,6,full_time
