match_id,season,date,round,referee,stadium,attendance,home_team,away_team,home_score,away_score,home_formation,away_formation,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_xg,away_xg,home_offsides,away_offsides,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_clearances,away_clearances,home_big_chances_missed,away_big_chances_missed,home_aerials_won,away_aerials_won,status
l1_championship_match_73137,2025,2025-08-29,3,Abdelatif KHERRADJI,STADE BOLLAERT-DELELIS,37232,RC Lens,Brest,3,1,3421,433,62,38,30,9,10,2,9,2,11,5,15,1,7,12,1,3,,1,3.993,1.075,2,,581,284,495,207,15,15,11,10,1,7,19,30,6,,20,35,full_time
l1_championship_match_73138,2025,2025-08-30,3,,STADE YVES-ALLAINMAT,15512,FC Lorient,LOSC,1,7,3421,4231,44,56,6,20,2,11,3,3,1,6,3,8,14,18,3,3,,,1.53,3.618,3,2,363,538,305,467,11,14,5,9,5,1,22,10,2,3,9,12,full_time
l1_championship_match_73141,2025,2025-08-30,3,Stéphanie FRAPPART,STADE DE LA BEAUJOIRE-LOUIS FONTENEAU,28784,FC Nantes,AJ Auxerre,1,0,433,4411,46,54,4,14,3,4,,3,1,7,3,9,13,11,1,3,,,0.485,0.683,1,6,345,439,270,365,14,9,11,6,4,2,41,24,,2,14,15,full_time
l1_championship_match_73143,2025,2025-08-30,3,Eric WATTELLIER,STADIUM,31515,Toulouse FC,PSG,3,6,541,433,30,70,14,13,6,8,3,3,5,2,6,7,7,11,1,,,,2.23,2.647,1,,268,860,207,805,17,14,13,8,2,3,18,15,2,,10,4,full_time
l1_championship_match_73135,2025,2025-08-31,3,Marc BOLLENGIER,STADE RAYMOND-KOPA,11512,Angers SCO,Rennes,1,1,4231,352,40,60,10,15,7,7,3,4,,4,1,7,9,11,2,2,,,1.231,1.458,4,,383,676,334,612,15,17,8,9,6,6,14,11,2,1,6,7,full_time
l1_championship_match_73136,2025,2025-08-31,3,Jérôme BRISARD,STADE OCÉANE,16513,Havre AC,OGC Nice,3,1,4141,3421,44,56,12,7,8,3,2,2,2,2,,5,13,16,1,4,,,2.56,0.629,,,326,475,256,406,12,11,6,7,2,5,26,20,1,1,13,17,full_time
l1_championship_match_73139,2025,2025-08-31,3,François LETEXIER,GROUPAMA STADIUM,52095,OL,OM,1,0,4231,4231,56,44,18,5,6,2,7,1,5,2,9,4,16,11,2,2,,1,3.409,0.768,1,1,429,321,371,252,5,7,4,4,2,4,17,31,5,2,16,18,full_time
l1_championship_match_73140,2025,2025-08-31,3,Benoît BASTIEN,STADE LOUIS-II,8718,AS Monaco,Strasbourg,3,2,4231,3421,45,55,12,12,4,4,4,5,4,3,6,5,13,12,2,1,,1,1.939,1.623,4,2,383,525,321,461,23,20,17,11,2,1,24,11,,1,13,6,full_time
l1_championship_match_73142,2025,2025-08-31,3,Jérémy STINAT,STADE JEAN BOUIN,17345,Paris FC,FC Metz,3,2,433,4231,51,49,24,14,9,2,12,7,3,5,14,6,4,8,1,1,,1,3.214,1.835,,1,485,472,426,414,7,16,3,8,,6,26,35,2,1,9,15,full_time
l1_championship_match_73147,2025,2025-09-12,4,Thomas LEONARD,ORANGE VÉLODROME,64098,OM,FC Lorient,4,0,4231,3421,67,33,15,4,8,1,2,1,5,2,10,,18,5,3,2,,1,2.26,0.139,1,,800,306,746,257,14,12,6,9,1,4,2,21,2,,22,8,full_time
l1_championship_match_73144,2025,2025-09-13,4,Romain LISSORGUE,STADE DE L'ABBÉ-DESCHAMPS,16703,AJ Auxerre,AS Monaco,1,2,541,442,39,61,9,13,2,3,4,6,3,4,5,8,12,19,2,6,1,,0.667,1.423,,1,282,574,203,486,25,17,20,9,1,2,31,26,1,2,15,21,full_time
l1_championship_match_73149,2025,2025-09-13,4,Guillaume PARADIS,ALLIANZ RIVIERA,20096,OGC Nice,FC Nantes,1,0,3421,4141,57,43,19,14,8,3,8,7,3,4,7,4,16,14,2,,,,1.749,0.745,7,,489,348,421,275,16,12,10,7,3,7,23,22,5,1,9,14,full_time
l1_championship_match_73145,2025,2025-09-14,4,Bastien DECHEPY,STADE FRANCIS-LE BLÉ,14594,Brest,Paris FC,1,2,433,4141,47,53,23,7,8,4,7,1,8,2,6,1,11,10,,3,,1,2.767,1.547,3,1,401,487,316,405,15,21,10,12,2,6,19,40,1,1,16,17,full_time
l1_championship_match_73146,2025,2025-09-14,4,Jérémy STINAT,DECATHLON ARENA – STADE PIERRE-MAUROY,42576,LOSC,Toulouse FC,2,1,4231,343,64,36,20,9,5,4,7,3,8,2,7,6,12,10,2,4,,1,2.215,0.824,1,2,553,231,479,171,18,15,12,8,3,3,20,34,1,1,14,17,full_time
l1_championship_match_73148,2025,2025-09-14,4,Benoît MILLOT,STADE SAINT-SYMPHORIEN,21107,FC Metz,Angers SCO,1,1,4231,4231,53,47,9,10,5,4,1,6,3,,4,3,10,7,,1,,,1.714,2.363,1,3,542,443,481,387,25,24,17,15,4,4,14,32,2,3,8,8,full_time
l1_championship_match_73150,2025,2025-09-14,4,Jérémie PIGNARD,PARC DES PRINCES,47642,PSG,RC Lens,2,0,433,3421,65,35,14,11,6,3,3,7,5,1,4,3,10,8,1,2,,,1.071,1.22,,,771,352,713,293,14,25,10,14,3,4,11,15,1,2,3,4,full_time
l1_championship_match_73151,2025,2025-09-14,4,Ruddy BUQUET,ROAZHON PARK,27392,Rennes,OL,3,1,352,4231,49,51,23,8,5,5,9,,9,3,5,4,18,13,2,2,,1,2.19,1.709,3,,449,492,386,420,16,18,13,10,4,2,13,19,,3,4,9,full_time
l1_championship_match_73152,2025,2025-09-14,4,Willy DELAJOD,STADE DE LA MEINAU,22250,Strasbourg,Havre AC,1,0,3142,4141,49,51,9,10,7,1,1,7,1,2,4,3,8,16,1,2,1,,1.361,0.645,1,1,453,468,398,406,17,25,13,16,1,5,24,16,1,,14,9,full_time
l1_championship_match_73157,2025,2025-09-19,5,Clément TURPIN,GROUPAMA STADIUM,44437,OL,Angers SCO,1,0,4231,433,63,37,16,10,5,2,7,4,4,4,7,4,16,10,2,2,,,1.874,1.177,1,1,583,284,529,227,12,13,7,8,2,4,20,20,2,3,15,9,full_time
l1_championship_match_73154,2025,2025-09-20,5,Benoît BASTIEN,STADE FRANCIS-LE BLÉ,14158,Brest,OGC Nice,4,1,4231,3421,40,60,11,21,5,4,4,10,2,7,2,7,17,11,1,3,,,2.03,2.33,,1,376,605,290,538,20,14,13,11,3,1,28,18,,3,18,10,full_time
l1_championship_match_73156,2025,2025-09-20,5,Eric WATTELLIER,STADE BOLLAERT-DELELIS,38223,RC Lens,LOSC,3,0,3421,4231,43,57,15,17,6,3,7,6,2,8,4,10,17,11,1,3,,,3.568,2.055,4,1,326,539,256,453,19,15,11,10,3,3,30,21,4,3,11,15,full_time
