match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
P1_20251214_FAMALICA_ESTORIL,2025/26,2025-12-14,,Carlos Macedo,Famalicao,Estoril,4,0,20,10,12,4,4,9,10,18,3,1,0,0,full_time
P1_20251214_MOREIREN_BENFICA,2025/26,2025-12-14,,Hélder Carvalho,Moreirense,Benfica,0,4,10,10,2,5,4,4,19,15,2,0,0,0,full_time
P1_20251214_AROUCA_ALVERCA,2025/26,2025-12-14,,David Silva,Arouca,Alverca,1,0,18,5,4,1,8,5,15,11,1,4,0,1,full_time
P1_20251215_NACIONAL_TONDELA,2025/26,2025-12-15,,Ricardo Baixinho,Nacional,Tondela,3,1,8,21,4,5,3,10,11,17,5,6,1,1,full_time
P1_20251215_SPBRAGA_SANTACLA,2025/26,2025-12-15,,Bruno Costa,Sp Braga,Santa Clara,1,0,6,5,3,2,5,1,10,15,1,3,0,0,full_time
P1_20251215_PORTO_ESTRELA,2025/26,2025-12-15,,Miguel Fonseca,Porto,Estrela,3,1,20,6,6,1,4,0,13,17,1,5,0,0,full_time
P1_20251219_ESTORIL_SPBRAGA,2025/26,2025-12-19,,David Silva,Estoril,Sp Braga,1,0,13,12,7,5,9,5,12,8,5,2,0,0,full_time
P1_20251220_GILVICEN_RIOAVE,2025/26,2025-12-20,,Diogo Rosa,Gil Vicente,Rio Ave,2,2,23,3,5,2,10,1,16,16,3,5,0,1,full_time
P1_20251220_ESTRELA_MOREIREN,2025/26,2025-12-20,,Claudio Pereira,Estrela,Moreirense,0,0,13,16,3,7,3,7,15,19,2,1,0,0,full_time
P1_20251221_AVS_NACIONAL,2025/26,2025-12-21,,João Gonçalves,AVS,Nacional,2,2,16,19,3,6,9,2,10,11,1,0,1,0,full_time
P1_20251221_TONDELA_CASAPIA,2025/26,2025-12-21,,Miguel Fonseca,Tondela,Casa Pia,1,2,11,12,4,5,6,4,10,16,2,3,0,0,full_time
P1_20251221_SANTACLA_AROUCA,2025/26,2025-12-21,,Iancu Vasilica,Santa Clara,Arouca,0,0,9,8,5,2,2,4,15,14,2,2,0,0,full_time
P1_20251222_ALVERCA_PORTO,2025/26,2025-12-22,,João Pinheiro,Alverca,Porto,0,3,8,14,5,6,4,1,8,12,1,1,0,0,full_time
P1_20251222_BENFICA_FAMALICA,2025/26,2025-12-22,,André Narciso,Benfica,Famalicao,1,0,9,4,6,2,5,2,11,21,0,1,0,0,full_time
P1_20251223_GUIMARAE_SPLISBON,2025/26,2025-12-23,,Miguel Nogueira,Guimaraes,Sp Lisbon,1,4,17,16,5,7,2,5,21,14,3,5,1,0,full_time
P1_20251227_FAMALICA_ESTRELA,2025/26,2025-12-27,,Luís Godinho,Famalicao,Estrela,2,3,22,6,5,4,9,4,18,16,3,5,0,0,full_time
P1_20251227_ESTORIL_ALVERCA,2025/26,2025-12-27,,Fábio Veríssimo,Estoril,Alverca,4,1,9,12,4,7,3,7,12,11,2,3,0,0,full_time
P1_20251228_AROUCA_GILVICEN,2025/26,2025-12-28,,José Bessa,Arouca,Gil Vicente,2,2,9,17,5,5,4,8,13,5,5,2,0,0,full_time
P1_20251228_CASAPIA_GUIMARAE,2025/26,2025-12-28,,Luís Carlos Mateus Filipe,Casa Pia,Guimaraes,0,0,5,13,2,2,2,3,23,11,4,2,0,0,full_time
P1_20251228_SPBRAGA_BENFICA,2025/26,2025-12-28,,João Gonçalves,Sp Braga,Benfica,2,2,11,14,3,6,1,5,14,9,4,2,1,0,full_time
P1_20251228_SPLISBON_RIOAVE,2025/26,2025-12-28,,Carlos Macedo,Sp Lisbon,Rio Ave,4,0,23,5,12,0,8,1,13,6,1,1,0,0,full_time
P1_20251229_PORTO_AVS,2025/26,2025-12-29,,Bruno Costa,Porto,AVS,2,0,18,7,4,1,7,0,8,7,1,1,0,0,full_time
P1_20260102_GILVICEN_SPLISBON,2025/26,2026-01-02,,Gustavo Correia,Gil Vicente,Sp Lisbon,1,1,19,14,9,4,8,7,17,14,4,4,0,1,full_time
P1_20260102_GUIMARAE_NACIONAL,2025/26,2026-01-02,,André Narciso,Guimaraes,Nacional,2,1,9,14,4,4,2,3,20,18,1,3,0,0,full_time
P1_20260103_TONDELA_AROUCA,2025/26,2026-01-03,,João Gonçalves,Tondela,Arouca,3,1,5,11,3,4,2,9,12,7,3,1,0,0,full_time
P1_20260103_BENFICA_ESTORIL,2025/26,2026-01-03,,Anzhony Rodrigues,Benfica,Estoril,3,1,20,9,3,4,7,3,12,15,0,2,0,0,full_time
P1_20260103_ESTRELA_SPBRAGA,2025/26,2026-01-03,,Hélder Carvalho,Estrela,Sp Braga,3,3,11,10,4,6,5,7,14,8,2,1,0,0,full_time
P1_20260103_AVS_MOREIREN,2025/26,2026-01-03,,Miguel Fonseca,AVS,Moreirense,0,2,9,12,4,5,2,4,23,11,5,3,0,0,full_time
P1_20260104_RIOAVE_CASAPIA,2025/26,2026-01-04,,Iancu Vasilica,Rio Ave,Casa Pia,3,1,12,15,8,5,9,4,10,23,0,1,0,0,full_time
P1_20260104_SANTACLA_PORTO,2025/26,2026-01-04,,Claudio Pereira,Santa Clara,Porto,0,1,12,8,0,5,2,7,20,22,2,4,0,0,full_time
P1_20260104_ALVERCA_FAMALICA,2025/26,2026-01-04,,Diogo Rosa,Alverca,Famalicao,1,0,10,14,4,2,3,4,14,22,2,2,0,0,full_time
P1_20260111_NACIONAL_SANTACLA,2025/26,2026-01-11,,Fábio Veríssimo,Nacional,Santa Clara,3,3,13,22,5,6,2,8,14,11,4,4,0,0,full_time
P1_20260111_MOREIREN_TONDELA,2025/26,2026-01-11,,Sérgio Guelho,Moreirense,Tondela,1,0,7,8,2,2,4,2,7,13,1,1,0,0,full_time
P1_20260116_SPLISBON_CASAPIA,2025/26,2026-01-16,,David Silva,Sp Lisbon,Casa Pia,3,0,16,6,4,1,4,6,12,12,0,2,0,1,full_time
P1_20260117_GILVICEN_NACIONAL,2025/26,2026-01-17,,Miguel Nogueira,Gil Vicente,Nacional,2,1,16,13,4,4,7,5,7,18,1,2,0,0,full_time
P1_20260117_ALVERCA_MOREIREN,2025/26,2026-01-17,,Luís Godinho,Alverca,Moreirense,2,1,15,10,3,4,4,0,16,6,3,1,0,0,full_time
P1_20260117_AVS_AROUCA,2025/26,2026-01-17,,João Pinheiro,AVS,Arouca,0,1,12,18,3,3,2,3,11,12,3,6,1,0,full_time
P1_20260117_RIOAVE_BENFICA,2025/26,2026-01-17,,Claudio Pereira,Rio Ave,Benfica,0,2,7,24,1,8,3,11,12,8,1,2,0,0,full_time
P1_20260118_SANTACLA_FAMALICA,2025/26,2026-01-18,,Márcio André Dias Torres,Santa Clara,Famalicao,0,1,15,7,1,3,9,2,17,18,1,1,0,0,full_time
P1_20260118_TONDELA_SPBRAGA,2025/26,2026-01-18,,Gustavo Correia,Tondela,Sp Braga,0,1,7,11,2,4,1,5,19,14,3,3,0,1,full_time
P1_20260118_GUIMARAE_PORTO,2025/26,2026-01-18,,João Gonçalves,Guimaraes,Porto,0,1,20,12,3,3,6,1,19,15,4,2,1,0,full_time
P1_20260119_ESTRELA_ESTORIL,2025/26,2026-01-19,,Pedro Ramalho,Estrela,Estoril,0,5,6,11,2,6,1,4,16,12,2,2,1,0,full_time
P1_20260123_CASAPIA_AVS,2025/26,2026-01-23,,Ricardo Baixinho,Casa Pia,AVS,3,3,9,27,4,7,2,11,15,13,3,5,0,0,full_time
P1_20260124_MOREIREN_SANTACLA,2025/26,2026-01-24,,João Pinheiro,Moreirense,Santa Clara,1,0,3,9,1,1,5,5,13,22,2,2,0,0,full_time
P1_20260124_AROUCA_SPLISBON,2025/26,2026-01-24,,Hélder Carvalho,Arouca,Sp Lisbon,1,2,11,15,5,4,4,7,11,12,3,4,1,1,full_time
P1_20260124_ESTORIL_GUIMARAE,2025/26,2026-01-24,,Fábio Veríssimo,Estoril,Guimaraes,4,2,16,13,6,4,4,2,9,19,2,3,0,0,full_time
P1_20260125_NACIONAL_RIOAVE,2025/26,2026-01-25,,Iancu Vasilica,Nacional,Rio Ave,4,0,14,11,5,6,5,5,18,6,3,0,0,0,full_time
P1_20260125_BENFICA_ESTRELA,2025/26,2026-01-25,,David Silva,Benfica,Estrela,4,0,15,4,8,1,6,1,10,24,3,4,0,0,full_time
P1_20260125_FAMALICA_TONDELA,2025/26,2026-01-25,,Carlos Macedo,Famalicao,Tondela,3,0,9,2,4,0,3,4,9,20,0,1,0,0,full_time
P1_20260125_SPBRAGA_ALVERCA,2025/26,2026-01-25,,Anzhony Rodrigues,Sp Braga,Alverca,5,0,17,3,7,0,7,0,9,11,2,2,0,0,full_time
P1_20260126_PORTO_GILVICEN,2025/26,2026-01-26,,António Nobre,Porto,Gil Vicente,3,0,14,11,6,5,11,3,13,8,2,3,0,1,full_time
P1_20260130_GUIMARAE_MOREIREN,2025/26,2026-01-30,,António Nobre,Guimaraes,Moreirense,1,0,14,10,2,5,5,5,19,12,2,5,0,0,full_time
P1_20260131_SANTACLA_ESTORIL,2025/26,2026-01-31,,Hélder Malheiro,Santa Clara,Estoril,2,4,14,11,4,6,6,5,16,11,7,3,0,0,full_time
P1_20260131_RIOAVE_AROUCA,2025/26,2026-01-31,,Sérgio Guelho,Rio Ave,Arouca,0,3,8,18,0,7,5,5,11,15,2,1,0,0,full_time
P1_20260131_ALVERCA_ESTRELA,2025/26,2026-01-31,,José Bessa,Alverca,Estrela,1,1,8,5,4,2,9,2,17,17,1,2,0,0,full_time
P1_20260201_GILVICEN_FAMALICA,2025/26,2026-02-01,,Anzhony Rodrigues,Gil Vicente,Famalicao,5,0,17,4,9,0,3,1,19,10,1,1,0,1,full_time
