match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_blocked,away_shots_blocked,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_tackles,away_tackles,home_tackles_won,away_tackles_won,home_saves,away_saves,home_offsides,away_offsides,home_clearances,away_clearances,home_goals_conceded,away_goals_conceded,home_fouls_won,away_fouls_won,home_assists,away_assists,home_substitutions,away_substitutions,home_formation,away_formation,attendance,status
5f5nv45h8uifzje7qunzteal0,2025/26,2025-08-23,3,Robin Hensgens,Go Ahead Eagles,Sparta Rotterdam,0,3,19,13,6,5,10,6,3,2,13,1,6,8,,2,,,67,32,554,274,486,207,5,13,4,9,2,5,3,1,11,45,3,,7,6,,3,5,3,4231,433,9997,full_time
5fjm3bo9pn9752bm1aye4kljo,2025/26,2025-08-23,3,Danny Desmond Makkelie,PSV,FC Groningen,4,2,23,17,7,6,7,4,9,7,6,4,11,11,,2,,,66,33,561,277,487,205,18,27,10,15,4,3,,1,19,24,2,4,11,11,2,1,5,4,433,4231,34800,full_time
5fzcgb3kudgb8lnrs35kexudw,2025/26,2025-08-23,3,Sander van der Eijk,Telstar,FC Volendam,2,2,18,10,9,6,6,1,3,3,4,6,10,11,3,,,,48,51,403,423,319,332,13,18,6,12,4,8,3,,40,31,2,2,11,8,2,2,5,5,3421,4231,5273,full_time
5gd97jixo0dnxvuhc27aeexas,2025/26,2025-08-24,3,Dennis Johan Higler,sc Heerenveen,FC Twente,1,2,18,9,3,5,6,3,9,1,8,4,10,19,1,4,,,55,45,474,405,388,305,12,23,11,15,3,2,3,1,20,29,2,1,19,10,1,1,4,4,4231,4231,21772,full_time
5h83lilwke58df9pj368jdg5w,2025/26,2025-08-24,3,Joey Kooij,FC Utrecht,Excelsior Rotterdam,4,1,16,12,10,4,2,5,4,3,7,5,6,15,,,,,49,50,408,410,333,338,13,13,7,8,3,5,1,1,25,16,1,4,12,6,4,,5,5,433,4231,21547,full_time
5hm392c3b29r6dtvtir636tjo,2025/26,2025-08-24,3,Bas Nijhuis,N.E.C. Nijmegen,NAC Breda,3,0,18,7,10,2,6,4,2,1,3,1,16,18,2,4,,,51,48,409,396,323,301,17,15,9,8,2,7,,3,16,25,,3,18,15,2,,5,5,343,4231,12650,full_time
5i6z6bv9jhjulx27752xzzgno,2025/26,2025-08-24,3,Marc Nagtegaal,Ajax,Heracles Almelo,2,0,27,4,10,,6,2,11,2,10,1,10,15,,2,,,65,34,647,337,581,257,12,13,7,8,,7,4,1,20,22,,2,15,7,1,,5,5,4231,4231,54683,full_time
5pkdcn31iawh3gdu4ue8bbqj8,2025/26,2025-09-17,3,Allard Lindhout,Feyenoord,Fortuna Sittard,2,0,19,5,5,,10,4,4,1,13,,11,9,,1,,,57,42,412,331,343,236,16,22,13,14,,3,3,2,16,40,,2,9,10,2,,5,5,433,532,47500,full_time
5gr5wulvb9bnhoga7m45m5lhw,2025/26,2025-09-24,3,Rob Dieperink,AZ,PEC Zwolle,2,2,28,8,9,4,13,1,6,3,9,1,12,10,1,2,,,65,34,588,317,511,236,13,8,8,4,3,7,1,,5,39,2,2,10,12,2,2,4,5,4231,433,17322,full_time
5iknvbt6ed264ttfi5nr9h1ck,2025/26,2025-08-29,4,Rob Dieperink,FC Groningen,Heracles Almelo,4,0,17,8,5,,4,7,8,1,6,3,13,12,2,1,,,50,49,354,352,275,255,16,19,11,12,,1,2,,29,33,,4,9,12,3,,5,2,4231,4231,22525,full_time
5iyhmrwgnpezjj1lca2e0mq6s,2025/26,2025-08-30,4,Alex Bos,FC Volendam,Ajax,1,1,11,13,4,4,4,8,3,1,2,7,12,15,2,3,,,31,68,294,645,226,576,19,5,13,3,3,3,1,2,32,23,1,1,15,11,1,1,5,5,4231,4231,6864,full_time
5jc7fkmab080ctki29bmqit5g,2025/26,2025-08-30,4,Allard Lindhout,sc Heerenveen,Go Ahead Eagles,2,2,19,11,5,5,6,2,8,4,3,7,9,12,3,1,,,56,43,484,368,399,286,15,12,11,5,3,3,,,35,32,2,2,11,9,1,1,2,5,4231,433,22771,full_time
5jq28sxu9yuj50vp7eapzj4t0,2025/26,2025-08-30,4,Robin Hensgens,PSV,Telstar,0,2,23,9,5,4,9,4,9,1,10,3,10,11,1,1,,,70,29,567,242,506,185,13,23,6,12,2,5,1,3,8,51,2,,11,10,,2,5,4,433,3421,34500,full_time
5k3vrz619hdu9nx4rnx6uim1g,2025/26,2025-08-30,4,Ingmar Oostrom,Excelsior Rotterdam,FC Twente,1,0,8,27,3,8,3,7,2,12,1,4,13,11,2,2,,,30,69,244,537,154,465,21,19,14,11,8,2,1,4,38,20,,1,11,13,1,,4,5,4231,4231,3608,full_time
5kht19imex48y3pc1h1vk721g,2025/26,2025-08-31,4,Erwin Blank,Fortuna Sittard,N.E.C. Nijmegen,3,2,10,14,5,5,3,3,2,6,3,4,16,8,4,1,,,38,61,280,445,174,351,19,12,14,8,3,2,3,1,56,25,2,3,6,16,2,1,5,3,4231,352,10573,full_time
5kvnru8yf9l7xszekgw5orcwk,2025/26,2025-08-31,4,Jannick van der Laan,PEC Zwolle,FC Utrecht,0,2,6,14,2,7,3,5,1,2,3,2,13,10,2,1,,,48,51,423,458,341,363,15,20,9,11,5,2,3,1,20,17,2,,10,13,,2,5,5,4231,433,13789,full_time
5lbdju4siehey9aud0tizww7o,2025/26,2025-08-31,4,Serdar Gözübüyük,Sparta Rotterdam,Feyenoord,0,4,7,24,2,11,3,7,2,6,1,9,5,9,1,2,,,37,62,296,479,217,417,15,11,7,6,7,2,2,2,31,26,4,,9,5,,1,5,5,433,4231,10599,full_time
5lpf3werwhjut54udo5h6hz4k,2025/26,2025-08-31,4,Jeroen Manschot,NAC Breda,AZ,0,1,11,25,6,8,2,10,3,7,1,7,8,13,,5,,,38,61,282,463,215,405,17,14,10,9,7,6,1,3,31,30,1,,11,8,,1,5,5,4231,4231,20215,full_time
5m3c89vkf3dnkj1va5decxzis,2025/26,2025-09-13,5,Sander van der Eijk,Ajax,PEC Zwolle,3,1,12,8,7,3,4,2,1,3,7,1,18,9,2,1,,,59,40,538,380,471,310,11,14,9,10,3,3,2,2,21,29,1,3,9,17,3,1,5,4,433,433,54081,full_time
5mh6gyvfdij4l8egsj0luvw2c,2025/26,2025-09-13,5,Serdar Gözübüyük,Go Ahead Eagles,FC Volendam,3,0,19,19,13,1,4,8,2,10,7,7,12,9,1,1,,,46,53,377,420,298,351,18,5,12,1,1,10,2,1,33,20,,3,8,12,1,,4,5,4231,4231,10003,full_time
5muy6i195slalm6t8mfhjkd1w,2025/26,2025-09-13,5,Danny Desmond Makkelie,N.E.C. Nijmegen,PSV,3,5,20,18,7,11,7,4,6,3,8,4,8,18,2,5,,,56,43,411,322,300,229,15,26,9,17,5,4,4,1,11,35,5,3,18,7,2,5,5,5,3412,3241,12650,full_time
5n8pmampktvvjacjdkzyclfkk,2025/26,2025-09-13,5,Alex Bos,FC Twente,NAC Breda,2,2,15,10,6,4,6,3,3,3,4,3,15,17,2,1,,,59,40,424,287,328,186,26,13,15,11,2,3,,3,28,46,2,2,16,15,1,2,4,5,4231,4231,29500,full_time
5nmo11hyztrgdf64g70kpyec4,2025/26,2025-09-13,5,Robin Hensgens,Feyenoord,sc Heerenveen,1,0,9,11,5,1,4,4,,6,6,3,10,11,2,,,,46,53,336,394,272,290,14,8,10,7,1,4,4,1,43,23,,1,11,9,1,,4,5,433,442,47500,full_time
5o0ogsfrrv2ixg8dy80f5e2ok,2025/26,2025-09-14,5,Jeroen Manschot,Excelsior Rotterdam,Sparta Rotterdam,0,1,17,19,4,7,4,5,9,7,7,2,11,8,2,1,,,53,47,440,392,342,298,10,23,5,14,6,4,1,1,23,44,1,,8,10,,1,5,4,4231,4231,4400,full_time
5oekegd4w3ild14auomfqn384,2025/26,2025-09-14,5,Marc Nagtegaal,FC Utrecht,FC Groningen,0,1,14,13,3,6,8,3,3,4,3,4,9,16,,4,,,45,55,353,448,257,344,11,22,6,15,5,3,1,,23,26,1,,16,9,,1,5,3,433,4231,22681,full_time
5osdbi31pgyw2detcdhlzxpg4,2025/26,2025-09-14,5,Bas Nijhuis,Heracles Almelo,AZ,1,2,19,25,6,8,10,9,3,8,6,9,11,11,1,5,,,51,48,399,375,335,319,20,18,10,8,6,5,,1,23,40,2,1,11,11,1,1,5,5,433,433,11964,full_time
5p6eg3gueu5bj372bb3b83vh0,2025/26,2025-09-14,5,Martijn Vos,Telstar,Fortuna Sittard,1,3,18,9,7,6,5,1,6,2,10,1,14,17,1,,,,56,43,467,373,384,290,14,17,11,10,3,4,2,1,10,35,3,1,15,14,1,2,5,5,3421,3142,5293,full_time
5pykabxbno48mzlhdo7aqho2c,2025/26,2025-09-19,6,Martin van den Kerkhof,Sparta Rotterdam,FC Twente,1,5,7,23,2,11,3,11,2,1,1,6,7,6,,1,,,45,54,374,460,305,399,12,15,4,10,6,1,2,,25,14,5,1,6,7,,3,3,5,433,433,10468,full_time
5qeex42m4g5fjnud4hvgerfo4,2025/26,2025-09-20,6,Marc Nagtegaal,FC Volendam,Excelsior Rotterdam,1,2,14,15,7,6,4,6,3,3,5,3,11,19,3,2,,,49,51,382,389,310,311,14,11,7,8,4,5,2,,28,15,2,1,19,11,,2,5,4,4231,4231,6471,full_time
5qsju506xkb3uzlx6ieqoymfo,2025/26,2025-09-20,6,Erwin Blank,FC Groningen,Telstar,2,0,16,7,6,3,7,4,3,,7,2,9,10,1,3,,,54,45,441,365,370,273,15,17,6,10,3,4,3,2,27,23,,2,10,8,1,,4,5,4231,3421,22525,full_time
5r6klm7a1szxc3tnga3ludpuc,2025/26,2025-09-20,6,Bas Nijhuis,Fortuna Sittard,FC Utrecht,1,0,7,14,3,5,4,4,,5,1,11,12,7,4,2,,,35,64,343,602,266,508,24,19,15,8,5,1,3,2,42,10,,1,7,12,,,5,5,4231,4231,10623,full_time
5rkn5fqj0s3nmcz5cbrd05mok,2025/26,2025-09-20,6,Dennis Johan Higler,NAC Breda,Heracles Almelo,2,1,17,14,4,5,7,7,6,2,10,4,9,16,1,2,,,62,37,505,304,431,232,9,13,5,8,4,2,,,16,55,1,2,16,8,1,,4,5,4231,433,20113,full_time
