tip_id,recorded_at,match_id,home_team,away_team,match_date,market,bet_type,line,direction,model_prob,model_odds,bm_odds,edge,stake,status,actual_value,profit
da729b306808,2026-05-14 22:06,0,OH Leuven,Royal Antwerp FC,,yellow_cards,1x2,0.0,X,0.4074,2.45,3.75,0.5277,8,won,1:1,2.75
8ef9058b8212,2026-05-16 18:31,0,Club Brugge,Royale Union St-Gilloise,,fouls,1x2,0.0,2,0.7721,1.3,1.48,0.1427,5,lost,13:7,-1.0
7066c63e3fb6,2026-05-18 20:49,0,KRC Genk,Royal Antwerp FC,,yellow_cards,total,3.5,U,0.5754,1.74,2.11,0.2141,15,won,0:2,0.74
844f466972f6,2026-05-24 13:19,0,STVV,KV Mechelen,,corners,1x2,0.0,2,0.3412,2.93,3.58,0.2215,9,lost,2:2,-1.0
894ee03595b6,2026-05-24 13:33,0,Royale Union St-Gilloise,Royal Sporting Club Anderlecht,,corners,1x2,0.0,2,0.3333,3.0,4.43,0.4765,9,lost,4:1,-1.0
69c8999327ee,2026-05-24 13:34,0,STVV,KV Mechelen,,yellow_cards,1x2,0.0,X,0.3294,3.04,3.66,0.2056,8,won,2:2,2.66
