match_id,date,round,referee,home_team,away_team,home_score,away_score,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_possession,away_possession,attendance
8092,31/08/2025 15:00,"7. kolo, Základní část | neděle 31/08/2025, 15:00 | Stadión U Nisy |",K. Rouček,FC Slovan Liberec,FC Viktoria Plzeň,1,1,1.64,0.42,15,8,7,2,6,2,14,20,2,3,,,56,44,
8093,31/08/2025 20:00,"7. kolo, Základní část | neděle 31/08/2025, 20:00 | epet ARENA |",M. Radina,AC Sparta Praha,FC Zlín,3,1,1.18,0.6,14,10,9,2,5,3,11,15,0,2,,,66,34,
8094,30/08/2025 17:00,"7. kolo, Základní část | sobota 30/08/2025, 17:00 | Městský fotbalový stadion Miroslava Valenty |",S. Volek,1.FC Slovácko,FK Jablonec,0,2,1.35,0.8,18,8,4,3,10,8,15,16,3,2,,,52,48,
8095,30/08/2025 17:00,"7. kolo, Základní část | sobota 30/08/2025, 17:00 | Městský stadion Karviná |",J. Všetečka,MFK Karviná,FK Teplice,4,1,1.6,0.55,10,12,6,1,2,4,17,12,0,2,,,57,43,
8096,30/08/2025 17:00,"7. kolo, Základní část | sobota 30/08/2025, 17:00 | Stadion Arnošta Košťála |",L. Nehasil,FK Pardubice,Bohemians Praha 1905,1,1,2.08,1.01,15,11,2,3,5,6,11,10,1,2,,,42,58,
8097,30/08/2025 20:00,"7. kolo, Základní část | sobota 30/08/2025, 20:00 | LOKOTRANS ARÉNA |",D. Starý,FK Mladá Boleslav,SK Slavia Praha,1,3,0.97,3.23,7,23,3,7,5,11,13,17,1,3,,,46,54,
8098,13/09/2025 15:00,"8. kolo, Základní část | sobota 13/09/2025, 15:00 | Letná |",J. Všetečka,FC Zlín,FK Dukla Praha,1,1,1.77,0.87,12,6,5,4,5,3,16,19,4,2,,,65,35,
8099,13/09/2025 15:00,"8. kolo, Základní část | sobota 13/09/2025, 15:00 | Doosan Aréna |",O. Berka,FC Viktoria Plzeň,SK Sigma Olomouc,1,0,3.82,1.19,19,9,8,1,11,5,9,15,0,2,0,2,55,45,
8100,14/09/2025 18:00,"8. kolo, Základní část | neděle 14/09/2025, 18:00 | Malšovická aréna |",J. Beneš,FC Hradec Králové,AC Sparta Praha,2,1,0.36,1.94,6,20,2,7,3,6,15,9,5,4,,,34,66,
8101,13/09/2025 15:00,"8. kolo, Základní část | sobota 13/09/2025, 15:00 | Městský stadion Ostrava |",M. Radina,FC Baník Ostrava,FC Slovan Liberec,0,2,1.01,1.16,12,15,1,4,6,3,8,11,2,4,1,0,51,50,
8102,14/09/2025 15:30,"8. kolo, Základní část | neděle 14/09/2025, 15:30 | Ďolíček |",D. Starý,Bohemians Praha 1905,1.FC Slovácko,1,0,1.91,1.34,14,16,5,4,5,4,13,9,2,0,,,47,53,
8103,13/09/2025 18:00,"8. kolo, Základní část | sobota 13/09/2025, 18:00 | Fortuna Arena |",S. Volek,SK Slavia Praha,MFK Karviná,3,1,3.32,0.53,26,11,9,3,13,2,13,18,3,1,0,1,61,39,
8104,13/09/2025 15:00,"8. kolo, Základní část | sobota 13/09/2025, 15:00 | AGC Aréna Na Stínadlech |",L. Nehasil,FK Teplice,FK Mladá Boleslav,2,3,2.07,2.12,12,16,4,5,3,5,11,12,1,3,,,32,68,
8105,14/09/2025 13:00,"8. kolo, Základní část | neděle 14/09/2025, 13:00 | Stadion Střelnice |",J. Machálek,FK Jablonec,FK Pardubice,3,2,1.36,1.63,14,10,5,3,5,5,10,13,2,2,,,54,46,
8106,20/09/2025 18:00,"9. kolo, Základní část | sobota 20/09/2025, 18:00 | epet ARENA |",M. Radina,AC Sparta Praha,FC Viktoria Plzeň,2,1,1.92,0.87,15,12,9,4,11,2,13,12,3,2,0,1,63,37,
8107,20/09/2025 15:00,"9. kolo, Základní část | sobota 20/09/2025, 15:00 | Letná |",L. Nehasil,FC Zlín,FC Hradec Králové,1,2,0.86,0.97,15,13,1,8,5,5,15,12,,,,,52,48,
