match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
SP1_20251108_ATHMADRI_LEVANTE,2025/26,2025-11-08,,Jesús Gil Manzano,Ath Madrid,Levante,3,1,25,6,10,3,21,4,5,6,3,1,0,0,full_time
SP1_20251108_ESPANOL_VILLARRE,2025/26,2025-11-08,,Alejandro Hernández Hernández,Espanol,Villarreal,0,2,14,9,3,3,4,2,9,9,0,2,0,0,full_time
SP1_20251109_ATHBILBA_OVIEDO,2025/26,2025-11-09,,César Soto Grado,Ath Bilbao,Oviedo,1,0,21,5,7,2,7,4,12,8,1,1,0,0,full_time
SP1_20251109_VALLECAN_REALMADR,2025/26,2025-11-09,,Juan Martínez Munuera,Vallecano,Real Madrid,0,0,13,21,2,5,5,8,17,7,3,2,0,0,full_time
SP1_20251109_MALLORCA_GETAFE,2025/26,2025-11-09,,Ricardo de Burgos,Mallorca,Getafe,1,0,6,14,4,3,1,14,15,8,0,2,0,0,full_time
SP1_20251109_VALENCIA_BETIS,2025/26,2025-11-09,,Víctor García Verdura,Valencia,Betis,1,1,17,9,4,2,7,2,13,10,3,3,0,0,full_time
SP1_20251109_CELTA_BARCELON,2025/26,2025-11-09,,Javier Alberola Rojas,Celta,Barcelona,2,4,5,21,3,9,2,5,13,10,1,5,0,1,full_time
SP1_20251121_VALENCIA_LEVANTE,2025/26,2025-11-21,,Alejandro Muñiz Ruiz,Valencia,Levante,1,0,14,8,3,1,7,0,16,15,4,3,0,0,full_time
SP1_20251122_ALAVES_CELTA,2025/26,2025-11-22,,Juan Martínez Munuera,Alaves,Celta,0,1,5,7,2,4,4,2,21,15,2,2,0,0,full_time
SP1_20251122_BARCELON_ATHBILBA,2025/26,2025-11-22,,José Sánchez Martínez,Barcelona,Ath Bilbao,4,0,19,13,7,2,5,7,9,9,0,2,0,1,full_time
SP1_20251122_OSASUNA_SOCIEDAD,2025/26,2025-11-22,,Mateo Busquets Ferrer,Osasuna,Sociedad,1,3,14,19,4,9,3,3,13,7,3,2,1,0,full_time
SP1_20251122_VILLARRE_MALLORCA,2025/26,2025-11-22,,José Luis Guzmán Mansilla,Villarreal,Mallorca,2,1,14,9,7,3,3,1,17,8,2,2,0,0,full_time
SP1_20251123_OVIEDO_VALLECAN,2025/26,2025-11-23,,Alejandro Quintero González,Oviedo,Vallecano,0,0,8,11,3,3,5,6,11,13,1,2,1,1,full_time
SP1_20251123_BETIS_GIRONA,2025/26,2025-11-23,,Iosu Galech Apezteguía,Betis,Girona,1,1,23,11,7,4,8,0,10,16,3,4,1,0,full_time
SP1_20251123_GETAFE_ATHMADRI,2025/26,2025-11-23,,Guillermo Cuadra Fernández,Getafe,Ath Madrid,0,1,9,13,1,6,6,7,9,17,2,3,0,0,full_time
SP1_20251123_ELCHE_REALMADR,2025/26,2025-11-23,,Francisco Hernández Maeso,Elche,Real Madrid,2,2,15,20,6,7,2,8,10,8,4,0,1,0,full_time
SP1_20251124_ESPANOL_SEVILLA,2025/26,2025-11-24,,Miguel Sesma Espinosa,Espanol,Sevilla,2,1,8,22,5,6,4,13,18,7,4,1,0,0,full_time
SP1_20251128_GETAFE_ELCHE,2025/26,2025-11-28,,Alejandro Hernández Hernández,Getafe,Elche,1,0,15,9,6,4,3,5,18,11,2,2,0,0,full_time
SP1_20251129_MALLORCA_OSASUNA,2025/26,2025-11-29,,Jesús Gil Manzano,Mallorca,Osasuna,2,2,7,14,4,2,2,8,10,15,3,4,0,0,full_time
SP1_20251129_BARCELON_ALAVES,2025/26,2025-11-29,,Miguel Ortiz Arias,Barcelona,Alaves,3,1,18,9,6,2,5,4,10,17,2,3,0,0,full_time
SP1_20251129_LEVANTE_ATHBILBA,2025/26,2025-11-29,,Adrián Cordero Vega,Levante,Ath Bilbao,0,2,11,14,4,4,4,2,11,19,3,2,0,0,full_time
SP1_20251129_ATHMADRI_OVIEDO,2025/26,2025-11-29,,Víctor García Verdura,Ath Madrid,Oviedo,2,0,14,12,8,1,7,2,5,8,0,1,0,0,full_time
SP1_20251130_SOCIEDAD_VILLARRE,2025/26,2025-11-30,,César Soto Grado,Sociedad,Villarreal,2,3,18,10,7,5,8,2,15,18,3,7,0,0,full_time
SP1_20251130_SEVILLA_BETIS,2025/26,2025-11-30,,José Munuera Montero,Sevilla,Betis,0,2,9,9,3,4,6,4,14,22,2,3,1,0,full_time
SP1_20251130_CELTA_ESPANOL,2025/26,2025-11-30,,Isidro Díaz de Mera,Celta,Espanol,0,1,11,9,4,2,4,3,12,15,1,2,0,0,full_time
SP1_20251130_GIRONA_REALMADR,2025/26,2025-11-30,,Ricardo de Burgos,Girona,Real Madrid,1,1,10,25,4,4,2,5,9,13,3,0,0,0,full_time
SP1_20251201_VALLECAN_VALENCIA,2025/26,2025-12-01,,Javier Alberola Rojas,Vallecano,Valencia,1,1,19,10,7,2,10,5,11,9,1,1,0,0,full_time
SP1_20251202_BARCELON_ATHMADRI,2025/26,2025-12-02,,Ricardo de Burgos,Barcelona,Ath Madrid,3,1,19,7,6,2,5,4,12,9,1,1,0,0,full_time
SP1_20251203_ATHBILBA_REALMADR,2025/26,2025-12-03,,Jesús Gil Manzano,Ath Bilbao,Real Madrid,0,3,9,13,4,8,5,7,15,4,2,0,0,0,full_time
SP1_20251205_OVIEDO_MALLORCA,2025/26,2025-12-05,,Iosu Galech Apezteguía,Oviedo,Mallorca,0,0,15,13,3,6,8,5,14,12,2,1,2,0,full_time
SP1_20251206_VILLARRE_GETAFE,2025/26,2025-12-06,,Mateo Busquets Ferrer,Villarreal,Getafe,2,0,10,6,5,0,5,3,19,15,2,4,0,1,full_time
SP1_20251206_ALAVES_SOCIEDAD,2025/26,2025-12-06,,Javier Alberola Rojas,Alaves,Sociedad,1,0,14,10,3,1,5,8,20,16,2,2,0,0,full_time
SP1_20251206_BETIS_BARCELON,2025/26,2025-12-06,,Francisco Hernández Maeso,Betis,Barcelona,3,5,17,16,5,8,7,7,14,9,5,2,0,0,full_time
SP1_20251206_ATHBILBA_ATHMADRI,2025/26,2025-12-06,,Alejandro Muñiz Ruiz,Ath Bilbao,Ath Madrid,1,0,14,7,3,3,5,6,9,12,3,2,0,0,full_time
SP1_20251207_ELCHE_GIRONA,2025/26,2025-12-07,,Miguel Sesma Espinosa,Elche,Girona,3,0,11,8,6,4,2,2,18,13,0,3,0,0,full_time
SP1_20251207_VALENCIA_SEVILLA,2025/26,2025-12-07,,Guillermo Cuadra Fernández,Valencia,Sevilla,1,1,11,4,3,1,2,2,12,18,3,6,0,0,full_time
SP1_20251207_ESPANOL_VALLECAN,2025/26,2025-12-07,,José Sánchez Martínez,Espanol,Vallecano,1,0,9,6,2,2,6,2,19,22,4,8,1,1,full_time
SP1_20251207_REALMADR_CELTA,2025/26,2025-12-07,,Alejandro Quintero González,Real Madrid,Celta,0,2,23,7,7,5,8,1,6,12,6,1,3,0,full_time
SP1_20251208_OSASUNA_LEVANTE,2025/26,2025-12-08,,José Luis Guzmán Mansilla,Osasuna,Levante,2,0,14,11,6,5,3,3,15,7,2,2,0,0,full_time
SP1_20251212_SOCIEDAD_GIRONA,2025/26,2025-12-12,,Miguel Ortiz Arias,Sociedad,Girona,1,2,9,14,4,3,4,3,20,5,1,2,0,0,full_time
SP1_20251213_ATHMADRI_VALENCIA,2025/26,2025-12-13,,César Soto Grado,Ath Madrid,Valencia,2,1,10,13,6,2,5,7,13,11,3,1,0,0,full_time
SP1_20251213_MALLORCA_ELCHE,2025/26,2025-12-13,,José Munuera Montero,Mallorca,Elche,3,1,15,9,8,0,1,1,13,13,3,0,0,0,full_time
SP1_20251213_BARCELON_OSASUNA,2025/26,2025-12-13,,Adrián Cordero Vega,Barcelona,Osasuna,2,0,24,3,7,2,14,1,5,8,0,3,0,0,full_time
SP1_20251213_GETAFE_ESPANOL,2025/26,2025-12-13,,Jesús Gil Manzano,Getafe,Espanol,0,1,11,6,1,4,6,4,18,17,5,1,0,0,full_time
