match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
D1_20260315_FREIBURG_UNIONBER,2025/26,2026-03-15,,Sven Jablonski,Freiburg,Union Berlin,0,1,19,9,6,4,6,2,6,19,0,2,0,0,full_time
D1_20260315_STUTTGAR_RBLEIPZI,2025/26,2026-03-15,,Deniz Aytekin,Stuttgart,RB Leipzig,1,0,13,9,4,4,5,6,5,16,1,2,0,0,full_time
D1_20260320_RBLEIPZI_HOFFENHE,2025/26,2026-03-20,,Sven Jablonski,RB Leipzig,Hoffenheim,5,0,14,8,9,2,1,3,8,16,1,1,0,0,full_time
D1_20260321_BAYERNMU_UNIONBER,2025/26,2026-03-21,,Patrick Ittrich,Bayern Munich,Union Berlin,4,0,31,5,9,1,12,1,5,8,1,2,0,0,full_time
D1_20260321_FCKOLN_M'GLADBA,2025/26,2026-03-21,,Sören Storks,FC Koln,M'gladbach,3,3,12,9,5,3,5,3,8,14,8,2,1,0,full_time
D1_20260321_HEIDENHE_LEVERKUS,2025/26,2026-03-21,,Robin Braun,Heidenheim,Leverkusen,3,3,9,14,5,5,2,5,11,12,4,4,0,0,full_time
D1_20260321_WOLFSBUR_WERDERBR,2025/26,2026-03-21,,Benjamin Brand,Wolfsburg,Werder Bremen,0,1,11,8,4,3,8,4,16,6,3,0,1,0,full_time
D1_20260321_DORTMUND_HAMBURG,2025/26,2026-03-21,,Matthias Jöllenbeck,Dortmund,Hamburg,3,2,24,4,8,4,11,3,10,8,2,3,0,0,full_time
D1_20260322_MAINZ_EINFRANK,2025/26,2026-03-22,,Tobias Stieler,Mainz,Ein Frankfurt,2,1,8,12,5,4,5,3,12,5,2,1,0,0,full_time
D1_20260322_STPAULI_FREIBURG,2025/26,2026-03-22,,Florian Badstübner,St Pauli,Freiburg,1,2,12,15,5,6,3,2,9,6,1,1,0,0,full_time
D1_20260322_AUGSBURG_STUTTGAR,2025/26,2026-03-22,,Felix Zwayer,Augsburg,Stuttgart,2,5,13,13,7,8,2,5,11,14,1,3,0,0,full_time
D1_20260404_FREIBURG_BAYERNMU,2025/26,2026-04-04,,Daniel Siebert,Freiburg,Bayern Munich,2,3,13,21,4,9,5,8,9,13,3,3,0,0,full_time
D1_20260404_HAMBURG_AUGSBURG,2025/26,2026-04-04,,Deniz Aytekin,Hamburg,Augsburg,1,1,18,18,4,3,9,2,12,12,2,3,1,0,full_time
D1_20260404_HOFFENHE_MAINZ,2025/26,2026-04-04,,Harm Osmers,Hoffenheim,Mainz,1,2,16,9,5,5,7,3,11,5,4,1,0,0,full_time
D1_20260404_LEVERKUS_WOLFSBUR,2025/26,2026-04-04,,Martin Petersen,Leverkusen,Wolfsburg,6,3,25,11,11,5,12,2,8,11,1,3,0,0,full_time
D1_20260404_M'GLADBA_HEIDENHE,2025/26,2026-04-04,,Bastian Dankert,M'gladbach,Heidenheim,2,2,15,15,7,7,2,3,12,11,4,0,0,0,full_time
D1_20260404_WERDERBR_RBLEIPZI,2025/26,2026-04-04,,Robert Hartmann,Werder Bremen,RB Leipzig,1,2,13,7,5,2,1,0,13,14,2,1,0,0,full_time
D1_20260404_STUTTGAR_DORTMUND,2025/26,2026-04-04,,Robert Schröder,Stuttgart,Dortmund,0,2,13,5,3,3,5,2,10,12,2,4,0,0,full_time
D1_20260405_UNIONBER_STPAULI,2025/26,2026-04-05,,Tobias Welz,Union Berlin,St Pauli,1,1,16,9,8,2,7,2,10,8,0,2,0,1,full_time
D1_20260405_EINFRANK_FCKOLN,2025/26,2026-04-05,,Florian Exner,Ein Frankfurt,FC Koln,2,2,20,14,7,9,8,0,10,7,1,2,0,0,full_time
D1_20260410_AUGSBURG_HOFFENHE,2025/26,2026-04-10,,Daniel Schlager,Augsburg,Hoffenheim,2,2,17,13,8,4,4,4,6,18,5,3,0,0,full_time
D1_20260411_DORTMUND_LEVERKUS,2025/26,2026-04-11,,Deniz Aytekin,Dortmund,Leverkusen,0,1,14,11,1,4,5,5,5,6,3,0,0,0,full_time
D1_20260411_HEIDENHE_UNIONBER,2025/26,2026-04-11,,Christian Dingert,Heidenheim,Union Berlin,3,1,7,10,3,3,3,5,7,13,0,2,0,0,full_time
D1_20260411_RBLEIPZI_M'GLADBA,2025/26,2026-04-11,,Sascha Stegemann,RB Leipzig,M'gladbach,1,0,24,15,11,3,11,4,9,6,4,1,0,0,full_time
D1_20260411_WOLFSBUR_EINFRANK,2025/26,2026-04-11,,Timo Gerach,Wolfsburg,Ein Frankfurt,1,2,22,10,7,4,7,7,9,8,2,1,0,0,full_time
D1_20260411_STPAULI_BAYERNMU,2025/26,2026-04-11,,Tobias Stieler,St Pauli,Bayern Munich,0,5,6,20,3,8,3,4,9,7,1,2,0,0,full_time
