match_id,season,date,round,referee,home_team,away_team,home_score,away_score,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,status
I1_20260522_FIORENTI_ATALANTA,2025/26,2026-05-22,,Mario Perri,Fiorentina,Atalanta,1,1,11,21,4,6,3,3,11,14,0,2,0,0,full_time
I1_20260523_BOLOGNA_INTER,2025/26,2026-05-23,,Kevin Bonacina,Bologna,Inter,3,3,11,11,3,5,1,4,15,14,0,2,0,0,full_time
I1_20260523_LAZIO_PISA,2025/26,2026-05-23,,Maria Caputi,Lazio,Pisa,2,1,15,8,9,2,5,1,9,8,2,1,0,0,full_time
I1_20260524_PARMA_SASSUOLO,2025/26,2026-05-24,,Niccolò Turrini,Parma,Sassuolo,1,0,16,6,3,1,1,1,10,14,2,2,0,0,full_time
I1_20260524_NAPOLI_UDINESE,2025/26,2026-05-24,,Andrea Zanotti,Napoli,Udinese,1,0,14,10,6,3,3,3,3,13,0,3,0,1,full_time
I1_20260524_CREMONES_COMO,2025/26,2026-05-24,,Fabio Maresca,Cremonese,Como,1,4,6,15,1,6,2,4,14,12,4,2,3,0,full_time
I1_20260524_LECCE_GENOA,2025/26,2026-05-24,,Daniele Doveri,Lecce,Genoa,1,0,9,8,4,1,1,6,11,6,2,0,0,0,full_time
I1_20260524_MILAN_CAGLIARI,2025/26,2026-05-24,,Marco Guida,Milan,Cagliari,1,2,16,25,3,10,5,5,8,9,2,2,0,0,full_time
I1_20260524_TORINO_JUVENTUS,2025/26,2026-05-24,,Luca Zufferli,Torino,Juventus,2,2,12,17,5,4,6,6,10,10,1,2,0,0,full_time
I1_20260524_VERONA_ROMA,2025/26,2026-05-24,,Simone Sozza,Verona,Roma,0,2,8,19,3,7,6,6,12,10,3,1,1,0,full_time
